46, 1001
Suborbital Science Data for Atmospheric Composition
NASA Langley Research Center
Merged Flight#20240626, on the P3B platform. Data is merged to 1.000000 seconds. This merge was created on the Custom Data Merging tool.
SARP
1,1
2024,06,26, 2025, 7, 9
0
Time_Start, seconds, start time of the merge period
13
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-999999, -999999, -999999, -999999, -999999, -999999, -999999, -999999, -999999, -999999, -999999, -999999, -999999
Time_Stop, seconds, stop time of the merge period
Day_Of_Year_BENNETT,  day,  None, calendar day beginning January 1 {dataID = SARP-METNAV}
Latitude_BENNETT,  deg,  Platform_Latitude_InSitu_None {dataID = SARP-METNAV}
Longitude_BENNETT,  deg,  Platform_Longitude_InSitu_None {dataID = SARP-METNAV}
Pressure_Altitude_BENNETT,  ft,  Platform_AltitudePressure_InSitu_None {dataID = SARP-METNAV}
Static_Air_Temp_BENNETT,  degrees Celcius,  Met_StaticAirTemperature_InSitu_None {dataID = SARP-METNAV}
Static_Pressure_BENNETT,  hPa,  Met_StaticPressure_InSitu_None {dataID = SARP-METNAV}
Solar_Zenith_Angle_BENNETT,  deg,  Met_SolarZenithAngle_InSitu_None {dataID = SARP-METNAV}
Org_Ave_IsoK_STP_ZIEMBA,  Organic_micrograms_per_standard_cubic_meter,  AerComp_OrganicAerosol_InSitu_VacuumAerodynamic_Accu_MassSTP {dataID = SARP-LARGE-AMS}
SO4_Ave_IsoK_STP_ZIEMBA,  Sulfate_micrograms_per_standard_cubic_meter,  AerComp_Sulfate_InSitu_VacuumAerodynamic_Accu_MassSTP {dataID = SARP-LARGE-AMS}
NO3_Ave_IsoK_STP_ZIEMBA,  Nitrate_micrograms_per_standard_cubic_meter,  AerComp_Nitrate_InSitu_VacuumAerodynamic_Accu_MassSTP {dataID = SARP-LARGE-AMS}
NH4_Ave_IsoK_STP_ZIEMBA,  Ammonium_micrograms_per_standard_cubic_meter,  AerComp_Ammonium_InSitu_VacuumAerodynamic_Accu_MassSTP {dataID = SARP-LARGE-AMS}
Chl_Ave_IsoK_STP_ZIEMBA,  Chloride_micrograms_per_standard_cubic_meter,  AerComp_Chloride_InSitu_VacuumAerodynamic_Accu_MassSTP {dataID = SARP-LARGE-AMS}
1
SPECIAL COMMENTS : See original files(listed in ASSOCIATED DATA) for special comments
18
PI_CONTACT_INFO: gao.chen@nasa.gov, michael.shook@nasa.gov, ali.a.aknan@nasa.gov
PLATFORM: P3B_AIRCRAFT
LOCATION: Included in data records
ASSOCIATED_DATA: See following PI data: BENNETT.RYAN, ZIEMBA.LUKE
INSTRUMENT_INFO: Please see PI data files for instrument information.
DATA_INFO: Please see PI data files for: (1) ULOD/LLOD, (2) DATA_FLAG information (DATA_FLAG=-66666 indicates that there are multiple data flag values in the reported interval), and (3) when using merged ratio variables (merge algorithm may not be appropriate when range of variation is large). Longitude is reported as (0, 360) degrees.
UNCERTAINTY: Please see PI data files for uncertainty information.
ULOD_FLAG: -777777
ULOD_VALUE: N/A
LLOD_FLAG: -888888
LLOD_VALUE: N/A
DM_CONTACT_INFO: gao.chen@nasa.gov, michael.shook@nasa.gov, ali.a.aknan@nasa.gov
PROJECT_INFO: SARP
STIPULATIONS_ON_USE: N/A
OTHER_COMMENTS: This merge was created using the SSD-AC online merge tool. Data merge methods are described here: https://www-air.larc.nasa.gov/missions/etc/onlinemergedoc.pdf. For detailed information on any data shown here, please see the associated PI files.
REVISION: RA
RA: File generated using LaRC's online merge tool on 2025-07-09 at 18:04:53
Time_Start, Time_Stop, Day_Of_Year_BENNETT, Latitude_BENNETT, Longitude_BENNETT, Pressure_Altitude_BENNETT, Static_Air_Temp_BENNETT, Static_Pressure_BENNETT, Solar_Zenith_Angle_BENNETT, Org_Ave_IsoK_STP_ZIEMBA, SO4_Ave_IsoK_STP_ZIEMBA, NO3_Ave_IsoK_STP_ZIEMBA, NH4_Ave_IsoK_STP_ZIEMBA, Chl_Ave_IsoK_STP_ZIEMBA
47035,47036,178.0000,37.946884,-75.455208,66.0000,23.3400,1010.30,53.1000, -999999, -999999, -999999, -999999, -999999
47036,47037,178.0000,37.946880,-75.455215,87.0000,23.2500,1010.50,53.1000, -999999, -999999, -999999, -999999, -999999
47037,47038,178.0000,37.946873,-75.455215,87.0000,23.2100,1008.80,53.1000, -999999, -999999, -999999, -999999, -999999
47038,47039,178.0000,37.946850,-75.455238,87.0000,23.2400,1009.80,53.1000, -999999, -999999, -999999, -999999, -999999
47039,47040,178.0000,37.946808,-75.455269,87.0000,23.1100,1009.60,53.1000, -999999, -999999, -999999, -999999, -999999
47040,47041,178.0000,37.946743,-75.455315,87.0000,22.9400,1010.10,53.1000, -999999, -999999, -999999, -999999, -999999
47041,47042,178.0000,37.946663,-75.455383,87.0000,22.9200,1010.00,53.1000, -999999, -999999, -999999, -999999, -999999
47042,47043,178.0000,37.946564,-75.455460,87.0000,22.7700,1009.90,53.1000, -999999, -999999, -999999, -999999, -999999
47043,47044,178.0000,37.946446,-75.455551,87.0000,22.6400,1010.30,53.1000, -999999, -999999, -999999, -999999, -999999
47044,47045,178.0000,37.946312,-75.455658,87.0000,22.6300,1009.40,53.1000, -999999, -999999, -999999, -999999, -999999
47045,47046,178.0000,37.946159,-75.455788,87.0000,22.4800,1009.70,53.1000, -999999, -999999, -999999, -999999, -999999
47046,47047,178.0000,37.945988,-75.455917,87.0000,22.4000,1009.80,53.1000, -999999, -999999, -999999, -999999, -999999
47047,47048,178.0000,37.945797,-75.456070,93.0000,22.2200,1010.10,53.1000, -999999, -999999, -999999, -999999, -999999
47048,47049,178.0000,37.945595,-75.456230,93.0000,22.2700,1009.80,53.1000, -999999, -999999, -999999, -999999, -999999
47049,47050,178.0000,37.945374,-75.456413,93.0000,22.1800,1010.20,53.1000, -999999, -999999, -999999, -999999, -999999
47050,47051,178.0000,37.945133,-75.456596,93.0000,22.0900,1010.10,53.1000, -999999, -999999, -999999, -999999, -999999
47051,47052,178.0000,37.944878,-75.456802,93.0000,22.0900,1010.40,53.1000, -999999, -999999, -999999, -999999, -999999
47052,47053,178.0000,37.944607,-75.457016,81.0000,21.9700,1010.60,53.1000, -999999, -999999, -999999, -999999, -999999
47053,47054,178.0000,37.944317,-75.457245,81.0000,22.0300,1010.50,53.1000, -999999, -999999, -999999, -999999, -999999
47054,47055,178.0000,37.944015,-75.457489,81.0000,21.8800,1010.30,53.1000, -999999, -999999, -999999, -999999, -999999
47055,47056,178.0000,37.943699,-75.457741,81.0000,21.9200,1010.00,53.1000, -999999, -999999, -999999, -999999, -999999
47056,47057,178.0000,37.943367,-75.458008,81.0000,21.9600,1010.40,53.1000, -999999, -999999, -999999, -999999, -999999
47057,47058,178.0000,37.943020,-75.458282,90.0000,21.9100,1009.90,53.1000, -999999, -999999, -999999, -999999, -999999
47058,47059,178.0000,37.942661,-75.458572,90.0000,21.8500,1010.10,53.1000, -999999, -999999, -999999, -999999, -999999
47059,47060,178.0000,37.942284,-75.458870,90.0000,21.8200,1009.70,53.1000, -999999, -999999, -999999, -999999, -999999
47060,47061,178.0000,37.941894,-75.459175,90.0000,21.8300,1010.20,53.1000, -999999, -999999, -999999, -999999, -999999
47061,47062,178.0000,37.941494,-75.459503,90.0000,21.8300,1010.40,53.0000, -999999, -999999, -999999, -999999, -999999
47062,47063,178.0000,37.941078,-75.459831,87.0000,21.8900,1010.10,53.0000, -999999, -999999, -999999, -999999, -999999
47063,47064,178.0000,37.940647,-75.460167,84.0000,21.9900,1010.10,53.0000, -999999, -999999, -999999, -999999, -999999
47064,47065,178.0000,37.940201,-75.460518,84.0000,21.9800,1010.40,53.0000, -999999, -999999, -999999, -999999, -999999
47065,47066,178.0000,37.939747,-75.460876,84.0000,22.0900,1010.20,53.0000, -999999, -999999, -999999, -999999, -999999
47066,47067,178.0000,37.939278,-75.461250,84.0000,22.1800,1010.40,53.0000, -999999, -999999, -999999, -999999, -999999
47067,47068,178.0000,37.938801,-75.461632,84.0000,22.2100,1010.70,53.0000, -999999, -999999, -999999, -999999, -999999
47068,47069,178.0000,37.938309,-75.462013,51.0000,22.2800,1012.40,53.0000, -999999, -999999, -999999, -999999, -999999
47069,47070,178.0000,37.937805,-75.462410,51.0000,22.4700,1013.00,53.0000, -999999, -999999, -999999, -999999, -999999
47070,47071,178.0000,37.937294,-75.462814,51.0000,22.4600,1012.40,53.0000, -999999, -999999, -999999, -999999, -999999
47071,47072,178.0000,37.936775,-75.463211,51.0000,22.3700,1011.10,53.0000, -999999, -999999, -999999, -999999, -999999
47072,47073,178.0000,37.936253,-75.463623,51.0000,22.4000,1011.00,53.0000, -999999, -999999, -999999, -999999, -999999
47073,47074,178.0000,37.935726,-75.464035,96.0000,22.3900,1009.50,53.0000, -999999, -999999, -999999, -999999, -999999
47074,47075,178.0000,37.935196,-75.464447,96.0000,22.1600,1008.40,53.0000, -999999, -999999, -999999, -999999, -999999
47075,47076,178.0000,37.934666,-75.464867,96.0000,22.0500,1007.30,53.0000, -999999, -999999, -999999, -999999, -999999
47076,47077,178.0000,37.934135,-75.465286,96.0000,22.1000,1006.50,53.0000, -999999, -999999, -999999, -999999, -999999
47077,47078,178.0000,37.933609,-75.465698,96.0000,22.0100,1005.80,53.0000, -999999, -999999, -999999, -999999, -999999
47078,47079,178.0000,37.933079,-75.466126,213.0000,21.9700,1005.30,53.0000, -999999, -999999, -999999, -999999, -999999
47079,47080,178.0000,37.932549,-75.466545,213.0000,22.0400,1004.60,53.0000, -999999, -999999, -999999, -999999, -999999
47080,47081,178.0000,37.932022,-75.466972,213.0000,21.7100,1003.70,53.0000, -999999, -999999, -999999, -999999, -999999
47081,47082,178.0000,37.931488,-75.467400,213.0000,21.6400,1003.00,53.0000, -999999, -999999, -999999, -999999, -999999
47082,47083,178.0000,37.930954,-75.467827,213.0000,21.5700,1002.30,53.0000, -999999, -999999, -999999, -999999, -999999
