snake #,can #,Date,Time,Location,location/notes,latitude,longitude,Open,CH4 (ppmv),CO (ppbv),CO2 (ppmv),OCS (MS),DMS (MS),CS2 (MS),CHCl3 (C/D/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/D/MS),CH3Cl (MS),CH3Br (MS),CH3I (C/D/MS),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/D/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (C/D),n-PrONO2 (C/D),2-BuONO2 (C/D),3-PenONO2 (C/D),2-PenONO2 (C/D),3-Methyl-2-BuONO2 (C/D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E/B),i-Butane (E/B),n-Butane (E/B),1-Butene (E),i-Butene (E),trans-2-Butene (E/B/MS),cis-2-Butene (MS),i-Pentane (E/B/MS),n-Pentane (E/B/MS),"1,3-Butadiene (B)",1-Pentene (E/MS),Isoprene (E/B/MS),trans-2-Pentene (E/MS),cis-2-Pentene (B/MS),3-Methyl-1-butene (E/B/MS),2-Methyl-1-Butene (B/MS),2-Methyl-2-butene (E/B/MS),"1,2-Propadiene (E)",n-Hexane (E/B/MS),n-Heptane (E/B/MS),n-Octane (B/MS),n-Nonane (B/MS),n-Decane (B/MS),"2,2-Dimethylbutane (B/MS)","2,3-Dimethylbutane (B/MS)",2-Methylpentane (B/MS),3-Methylpentane (B/MS),2-Methylhexane (MS),3-Methylhexane (MS),"2,4-Dimethylpentane (B)","2,3-Dimethylpentane (B/MS)","2,2,4-Trimethylpentane (B/MS)","2,3,4-Trimethylpentane (B/MS)",Cyclopentane (E/B),Methylcyclopentane (B/MS),Cyclohexane (B),Methylcyclohexane (B/MS),Benzene (E/B/MS),Toluene (E/B/MS),Ethylbenzene (B/MS),m/p-Xylene (B/MS),o-Xylene (B/MS),Styrene (B/MS),iso-Propylbenzene (B/MS),n-Propylbenzene (B/MS),3-Ethyltoluene (B/MS),4-Ethyltoluene (B/MS),2-ethyltoluene (B/MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (B/MS),beta-Pinene (B/MS),Limonene (B/MS),Methanol (B/MS),Ethanol (MS),Isopropanol (MS),Acetaldehyde (MS),Acetone (B/MS),MAC (MS),MVK (MS),Butanal (MS),Butanone (MS),,Open,Ethanol (MS),,,,,
3723,2023,2/26/2025,12:42,Chino Dairy SD Farm,Milk Barn Outflow,34.01169,-117.64790,1,3.115,279,486,610,189,0.25,40.8,110.6,4.87,10.36,544,7.53,0.54,1.22,3.26,3.32,2.08,1.8,32.2,12.95,3.88,10.89,1.66,16.30,2.31,3.50,3.65,4435,851,701,4143,146,640,1449,25,31,-888,4,1030,804,5,9,132,8,-888,3,21,6,10,104,51,22,18,20,36,46,139,90,43,45,42,51,93,26,41,80,43,28,136,373,41,113,49,17,3,8,14,11,7,-888,17,7,14,-888,64,10202,5441,917,2732,4257,55,217,58,432,,1,5440.673865,,,,,
3722,2020,2/26/2025,14:21,Chino Dairy SD Farm,Silage Storage,34.00862,-117.64600,2,2.512,288,467,602,65,0.31,35.3,114.8,5.62,10.76,559,7.65,0.62,1.22,2.40,3.04,2.37,1.6,26.9,12.55,4.12,13.20,1.78,22.19,2.59,3.96,4.75,4645,723,711,3309,100,789,1928,15,43,-888,5,945,383,-888,8,91,-888,-888,-888,11,6,8,116,51,21,17,15,39,48,161,109,42,46,48,55,98,28,46,93,49,29,150,312,40,94,43,25,5,10,13,15,6,4,13,5,5,-888,87,6357,3732,571,3313,3727,57,242,55,487,,2,3731.928852,,,,,
3721,2019,2/26/2025,15:11,Chino Dairy SD Farm,Background (H2S 7),34.01203,-117.64688,3,2.159,272,464,589,3,0.14,33.9,117.7,5.87,9.15,564,7.24,0.54,1.28,2.01,2.69,2.33,1.7,27.3,12.33,4.20,12.18,1.78,20.25,2.34,3.48,4.29,3938,726,688,2621,142,721,2105,25,46,6,8,1010,374,8,9,279,10,-888,5,17,13,10,110,53,23,22,25,42,59,174,109,45,52,56,62,104,32,89,96,47,32,148,318,55,142,58,63,10,22,25,26,18,15,30,23,12,4,120,2777,2830,387,2917,3132,59,230,63,380,,3,2830.345135,,,,,
3720,2018,2/26/2025,15:29,Chino Dairy SD Farm,Bon View Ave,34.00801,-117.63699,4,2.992,280,473,662,297,0.65,30.5,107.2,5.64,8.89,541,7.37,0.51,1.31,1.89,2.52,2.18,1.8,27.6,11.66,3.80,11.71,1.60,19.55,2.31,3.52,4.23,3882,689,625,2615,133,678,1980,25,40,4,6,944,367,6,12,130,12,4,3,22,10,7,129,49,24,12,6,46,63,190,124,45,51,49,57,97,29,56,97,51,29,137,294,39,102,39,34,-888,7,12,9,5,-888,14,-888,6,-888,220,7040,16263,427,3843,3429,69,251,66,546,,4,16263.13587,,,,,
3719,2017,2/26/2025,15:34,Chino Dairy SD Farm,Bon View Ave,34.00074,-117.63682,5,2.266,266,462,590,17,0.14,29.4,102.3,4.91,8.63,547,7.25,0.54,1.29,1.86,2.58,2.39,1.8,27.4,11.80,3.91,11.45,1.58,19.49,2.25,3.39,4.02,3828,577,616,2550,97,659,1952,15,30,-888,4,911,347,4,9,173,5,-888,3,11,9,5,104,48,20,13,12,41,62,194,110,39,42,40,47,85,24,56,79,44,23,137,259,36,88,36,42,-888,6,11,7,3,-888,11,-888,8,-888,354,3564,4999,493,2691,3128,85,235,56,456,,5,4999.103427,,,,,
3718,2022,2/26/2025,15:44,Chino Dairy SD Farm,,34.00873,-117.61957,6,3.069,268,469,635,425,0.45,31.7,103.4,5.80,8.24,554,7.27,0.55,1.25,1.87,2.46,2.31,1.4,26.7,11.73,3.69,11.88,1.57,19.99,2.31,3.46,4.16,3900,614,638,2760,96,691,2015,15,31,-888,4,970,362,-888,7,126,8,-888,3,15,6,9,122,50,18,14,10,46,57,171,109,42,44,45,51,95,27,39,94,46,25,133,292,36,86,36,52,-888,5,10,11,4,-888,11,-888,112,11,739,9349,7229,524,3079,3535,70,239,41,511,,6,7229.121158,,,,,
3717,2025,2/26/2025,15:53,Chino Dairy SD Farm,,33.99619,-117.61945,7,3.514,258,477,644,214,0.50,29.5,100.2,5.19,7.68,548,7.16,0.63,1.19,1.70,2.16,2.11,1.9,27.6,11.42,3.59,11.35,1.42,18.08,2.14,3.14,3.75,3647,571,584,2421,85,626,1734,14,26,-888,4,810,355,-888,5,119,-888,-888,-888,31,-888,7,119,43,19,12,11,38,49,156,96,37,40,37,43,84,22,37,85,35,24,126,236,29,70,29,25,-888,5,8,8,-888,-888,10,6,58,44,3393,14351,52117,1414,3931,3224,69,300,54,558,,7,52116.53388,,,,,
3709,9135,2/26/2025,16:17,Chino Dairy SD Farm,,34.00508,-117.60698,8,2.922,246,459,665,297,0.81,34.2,94.7,4.75,6.63,574,7.31,0.93,1.28,1.55,2.05,2.21,1.3,27.1,10.74,3.50,10.83,1.42,17.96,2.09,3.07,3.78,3504,547,569,2264,103,627,1855,14,28,-888,4,878,319,5,5,141,-888,-888,-888,13,-888,-888,109,43,19,12,8,35,49,153,94,34,38,43,51,81,22,36,82,35,23,122,351,33,79,32,43,-888,4,8,3,-888,-888,11,-888,62,4,35,10038,7025,577,1263,3126,59,190,40,501,,8,7024.66561,,,,,
3710,9129,2/26/2025,16:35,Chino Dairy SD Farm,Nursery / Redwood Products & Vortmann Eggs?,34.00217,-117.62824,9,2.298,276,461,620,224,0.21,24.3,86.1,3.73,4.80,572,7.08,0.54,1.14,1.14,1.43,1.76,1.5,26.2,9.73,2.87,8.86,1.13,13.11,1.56,2.15,2.54,3238,1304,684,7775,336,574,1393,21,45,-888,6,681,259,5,6,269,4,-888,4,12,5,5,75,39,20,24,19,26,35,110,67,28,29,28,40,61,16,21,63,30,32,107,189,28,78,25,-888,-888,-888,16,30,6,5,17,-888,813,141,231,15741,18900,466,1728,2427,48,154,31,482,,9,18900.1764,,,,,
3711,9431,2/26/2025,16:37,Chino Dairy SD Farm,Vortmann Eggs (High NH3 571ppb),33.99973,-117.62822,10,2.251,199,491,602,57,0.15,25.1,92.2,3.16,4.62,580,8.33,0.51,1.21,1.04,1.33,1.67,1.4,27.1,9.86,2.76,8.01,1.08,12.20,1.38,1.95,2.26,2768,402,425,3259,67,541,1899,12,25,10,12,792,273,6,8,128,12,5,5,18,14,4,122,34,18,16,15,26,32,102,72,26,25,28,32,52,15,27,72,24,16,96,202,27,84,36,-888,-888,4,8,7,3,-888,10,4,32,5,59,8966,24206,532,1263,3424,37,127,53,701,,10,24205.60864,,,,,
