snake_number,can_number,Date,Time,Location,location_notes,latitude,longitude,Open,CH4,CO,CO2,OCS,DMS,CS2,CHCl3,CH2Cl2,C2HCl3,C2Cl4,CH3Cl,CH3Br,CH3I,CH2Br2,CHBrCl2,CHBr2Cl,CHBr3,EtCl,"1,2-DCE",MeONO2,EtONO2,i-PrONO2,n-PrONO2,2-BuONO2,3-PenONO2,2-PenONO2,3-Methyl-2-BuONO2,Ethane,Ethene,Ethyne,Propane,Propene,i-Butane,n-Butane,1-Butene,i-Butene,trans-2-Butene,cis-2-Butene,i-Pentane,n-Pentane,"1,3-Butadiene",1-Pentene,Isoprene,trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane,n-Heptane,n-Octane,n-Nonane,n-Decane,"2,2-Dimethylbutane","2,3-Dimethylbutane",2-Methylpentane,3-Methylpentane,2-Methylhexane,3-Methylhexane,"2,4-Dimethylpentane","2,3-Dimethylpentane","2,2,4-Trimethylpentane","2,3,4-Trimethylpentane",Cyclopentane,Methylcyclopentane,Cyclohexane,Methylcyclohexane,Benzene,Toluene,Ethylbenzene,m_p-Xylene,o-Xylene,Styrene,iso-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,2-ethyltoluene,"1,3,5-Trimethylbenzene","1,2,4-Trimethylbenzene","1,2,3-Trimethylbenzene",alpha-Pinene,beta-Pinene,Limonene,Methanol,Ethanol,Isopropanol,Acetaldehyde,Acetone,MAC,MVK,Butanal,Butanone,Open1,Ethanol1
3723,2023,2/26/2025,12:42,Chino Dairy SD Farm,Milk Barn Outflow,34.01169,-117.6479,1.0,3.115,279.0,486.0,610.0,189.0,0.25,40.8,110.6,4.87,10.36,544.0,7.53,0.54,1.22,3.26,3.32,2.08,1.8,32.2,12.95,3.88,10.89,1.66,16.3,2.31,3.5,3.65,4435.0,851.0,701.0,4143.0,146.0,640.0,1449.0,25.0,31.0,-888.0,4.0,1030.0,804.0,5.0,9.0,132.0,8.0,-888.0,3.0,21.0,6.0,10.0,104.0,51.0,22.0,18.0,20.0,36.0,46.0,139.0,90.0,43.0,45.0,42.0,51.0,93.0,26.0,41.0,80.0,43.0,28.0,136.0,373.0,41.0,113.0,49.0,17.0,3,8.0,14.0,11.0,7.0,-888.0,17.0,7.0,14.0,-888.0,64.0,10202.0,5441.0,917.0,2732.0,4257.0,55.0,217.0,58.0,432.0,1.0,5440.673865
3722,2020,2/26/2025,14:21,Chino Dairy SD Farm,Silage Storage,34.00862,-117.646,2.0,2.512,288.0,467.0,602.0,65.0,0.31,35.3,114.8,5.62,10.76,559.0,7.65,0.62,1.22,2.4,3.04,2.37,1.6,26.9,12.55,4.12,13.2,1.78,22.19,2.59,3.96,4.75,4645.0,723.0,711.0,3309.0,100.0,789.0,1928.0,15.0,43.0,-888.0,5.0,945.0,383.0,-888.0,8.0,91.0,-888.0,-888.0,-888.0,11.0,6.0,8.0,116.0,51.0,21.0,17.0,15.0,39.0,48.0,161.0,109.0,42.0,46.0,48.0,55.0,98.0,28.0,46.0,93.0,49.0,29.0,150.0,312.0,40.0,94.0,43.0,25.0,5,10.0,13.0,15.0,6.0,4.0,13.0,5.0,5.0,-888.0,87.0,6357.0,3732.0,571.0,3313.0,3727.0,57.0,242.0,55.0,487.0,2.0,3731.928852
3721,2019,2/26/2025,15:11,Chino Dairy SD Farm,Background (H2S 7),34.01203,-117.64688,3.0,2.159,272.0,464.0,589.0,3.0,0.14,33.9,117.7,5.87,9.15,564.0,7.24,0.54,1.28,2.01,2.69,2.33,1.7,27.3,12.33,4.2,12.18,1.78,20.25,2.34,3.48,4.29,3938.0,726.0,688.0,2621.0,142.0,721.0,2105.0,25.0,46.0,6.0,8.0,1010.0,374.0,8.0,9.0,279.0,10.0,-888.0,5.0,17.0,13.0,10.0,110.0,53.0,23.0,22.0,25.0,42.0,59.0,174.0,109.0,45.0,52.0,56.0,62.0,104.0,32.0,89.0,96.0,47.0,32.0,148.0,318.0,55.0,142.0,58.0,63.0,10,22.0,25.0,26.0,18.0,15.0,30.0,23.0,12.0,4.0,120.0,2777.0,2830.0,387.0,2917.0,3132.0,59.0,230.0,63.0,380.0,3.0,2830.345135
3720,2018,2/26/2025,15:29,Chino Dairy SD Farm,Bon View Ave,34.00801,-117.63699,4.0,2.992,280.0,473.0,662.0,297.0,0.65,30.5,107.2,5.64,8.89,541.0,7.37,0.51,1.31,1.89,2.52,2.18,1.8,27.6,11.66,3.8,11.71,1.6,19.55,2.31,3.52,4.23,3882.0,689.0,625.0,2615.0,133.0,678.0,1980.0,25.0,40.0,4.0,6.0,944.0,367.0,6.0,12.0,130.0,12.0,4.0,3.0,22.0,10.0,7.0,129.0,49.0,24.0,12.0,6.0,46.0,63.0,190.0,124.0,45.0,51.0,49.0,57.0,97.0,29.0,56.0,97.0,51.0,29.0,137.0,294.0,39.0,102.0,39.0,34.0,-888,7.0,12.0,9.0,5.0,-888.0,14.0,-888.0,6.0,-888.0,220.0,7040.0,16263.0,427.0,3843.0,3429.0,69.0,251.0,66.0,546.0,4.0,16263.13587
3719,2017,2/26/2025,15:34,Chino Dairy SD Farm,Bon View Ave,34.00074,-117.63682,5.0,2.266,266.0,462.0,590.0,17.0,0.14,29.4,102.3,4.91,8.63,547.0,7.25,0.54,1.29,1.86,2.58,2.39,1.8,27.4,11.8,3.91,11.45,1.58,19.49,2.25,3.39,4.02,3828.0,577.0,616.0,2550.0,97.0,659.0,1952.0,15.0,30.0,-888.0,4.0,911.0,347.0,4.0,9.0,173.0,5.0,-888.0,3.0,11.0,9.0,5.0,104.0,48.0,20.0,13.0,12.0,41.0,62.0,194.0,110.0,39.0,42.0,40.0,47.0,85.0,24.0,56.0,79.0,44.0,23.0,137.0,259.0,36.0,88.0,36.0,42.0,-888,6.0,11.0,7.0,3.0,-888.0,11.0,-888.0,8.0,-888.0,354.0,3564.0,4999.0,493.0,2691.0,3128.0,85.0,235.0,56.0,456.0,5.0,4999.103427
3718,2022,2/26/2025,15:44,Chino Dairy SD Farm,,34.00873,-117.61957,6.0,3.069,268.0,469.0,635.0,425.0,0.45,31.7,103.4,5.8,8.24,554.0,7.27,0.55,1.25,1.87,2.46,2.31,1.4,26.7,11.73,3.69,11.88,1.57,19.99,2.31,3.46,4.16,3900.0,614.0,638.0,2760.0,96.0,691.0,2015.0,15.0,31.0,-888.0,4.0,970.0,362.0,-888.0,7.0,126.0,8.0,-888.0,3.0,15.0,6.0,9.0,122.0,50.0,18.0,14.0,10.0,46.0,57.0,171.0,109.0,42.0,44.0,45.0,51.0,95.0,27.0,39.0,94.0,46.0,25.0,133.0,292.0,36.0,86.0,36.0,52.0,-888,5.0,10.0,11.0,4.0,-888.0,11.0,-888.0,112.0,11.0,739.0,9349.0,7229.0,524.0,3079.0,3535.0,70.0,239.0,41.0,511.0,6.0,7229.121158
3717,2025,2/26/2025,15:53,Chino Dairy SD Farm,,33.99619,-117.61945,7.0,3.514,258.0,477.0,644.0,214.0,0.5,29.5,100.2,5.19,7.68,548.0,7.16,0.63,1.19,1.7,2.16,2.11,1.9,27.6,11.42,3.59,11.35,1.42,18.08,2.14,3.14,3.75,3647.0,571.0,584.0,2421.0,85.0,626.0,1734.0,14.0,26.0,-888.0,4.0,810.0,355.0,-888.0,5.0,119.0,-888.0,-888.0,-888.0,31.0,-888.0,7.0,119.0,43.0,19.0,12.0,11.0,38.0,49.0,156.0,96.0,37.0,40.0,37.0,43.0,84.0,22.0,37.0,85.0,35.0,24.0,126.0,236.0,29.0,70.0,29.0,25.0,-888,5.0,8.0,8.0,-888.0,-888.0,10.0,6.0,58.0,44.0,3393.0,14351.0,52117.0,1414.0,3931.0,3224.0,69.0,300.0,54.0,558.0,7.0,52116.53388
3709,9135,2/26/2025,16:17,Chino Dairy SD Farm,,34.00508,-117.60698,8.0,2.922,246.0,459.0,665.0,297.0,0.81,34.2,94.7,4.75,6.63,574.0,7.31,0.93,1.28,1.55,2.05,2.21,1.3,27.1,10.74,3.5,10.83,1.42,17.96,2.09,3.07,3.78,3504.0,547.0,569.0,2264.0,103.0,627.0,1855.0,14.0,28.0,-888.0,4.0,878.0,319.0,5.0,5.0,141.0,-888.0,-888.0,-888.0,13.0,-888.0,-888.0,109.0,43.0,19.0,12.0,8.0,35.0,49.0,153.0,94.0,34.0,38.0,43.0,51.0,81.0,22.0,36.0,82.0,35.0,23.0,122.0,351.0,33.0,79.0,32.0,43.0,-888,4.0,8.0,3.0,-888.0,-888.0,11.0,-888.0,62.0,4.0,35.0,10038.0,7025.0,577.0,1263.0,3126.0,59.0,190.0,40.0,501.0,8.0,7024.66561
3710,9129,2/26/2025,16:35,Chino Dairy SD Farm,Nursery / Redwood Products & Vortmann Eggs?,34.00217,-117.62824,9.0,2.298,276.0,461.0,620.0,224.0,0.21,24.3,86.1,3.73,4.8,572.0,7.08,0.54,1.14,1.14,1.43,1.76,1.5,26.2,9.73,2.87,8.86,1.13,13.11,1.56,2.15,2.54,3238.0,1304.0,684.0,7775.0,336.0,574.0,1393.0,21.0,45.0,-888.0,6.0,681.0,259.0,5.0,6.0,269.0,4.0,-888.0,4.0,12.0,5.0,5.0,75.0,39.0,20.0,24.0,19.0,26.0,35.0,110.0,67.0,28.0,29.0,28.0,40.0,61.0,16.0,21.0,63.0,30.0,32.0,107.0,189.0,28.0,78.0,25.0,-888.0,-888,-888.0,16.0,30.0,6.0,5.0,17.0,-888.0,813.0,141.0,231.0,15741.0,18900.0,466.0,1728.0,2427.0,48.0,154.0,31.0,482.0,9.0,18900.1764
3711,9431,2/26/2025,16:37,Chino Dairy SD Farm,Vortmann Eggs (High NH3 571ppb),33.99973,-117.62822,10.0,2.251,199.0,491.0,602.0,57.0,0.15,25.1,92.2,3.16,4.62,580.0,8.33,0.51,1.21,1.04,1.33,1.67,1.4,27.1,9.86,2.76,8.01,1.08,12.2,1.38,1.95,2.26,2768.0,402.0,425.0,3259.0,67.0,541.0,1899.0,12.0,25.0,10.0,12.0,792.0,273.0,6.0,8.0,128.0,12.0,5.0,5.0,18.0,14.0,4.0,122.0,34.0,18.0,16.0,15.0,26.0,32.0,102.0,72.0,26.0,25.0,28.0,32.0,52.0,15.0,27.0,72.0,24.0,16.0,96.0,202.0,27.0,84.0,36.0,-888.0,-888,4.0,8.0,7.0,3.0,-888.0,10.0,4.0,32.0,5.0,59.0,8966.0,24206.0,532.0,1263.0,3424.0,37.0,127.0,53.0,701.0,10.0,24205.60864
