,count,unique,top,freq,mean,std,min,25%,50%,75%,max
snake_number,25,25,3723,1,,,,,,,
can_number,19,19,2023,1,,,,,,,
Date,19,2,2/26/2025,12,,,,,,,
Time,19,19,12:42,1,,,,,,,
Location,19,1,Chino Dairy SD Farm,19,,,,,,,
location_notes,16,15,Bon View Ave,2,,,,,,,
latitude,26.0,,,,31.38893374730769,9.236668734361185,0.006870942,33.995867499999996,34.004,34.008565000000004,34.01203
longitude,26.0,,,,-108.58513117503846,31.96684641653396,-117.648,-117.6400675,-117.63569,-117.62807749999999,0.011203161
Open,26.0,,,,11.611556066499999,10.629768091993576,1.0,5.720485754249999,10.0,14.75,56.27314339
CH4,26.0,,,,3.446943059192307,3.704330525964319,0.593117419,2.25475,2.795,3.1035000000000004,21.24840212
CO,26.0,,,,197.70658148,74.52061025344493,30.66292307,135.0,210.734,267.5,288.199
CO2,26.0,,,,430.4390112308461,124.82232436920083,3.620285232,450.75,465.516,472.25,494.0
OCS,26.0,,,,577.4947332705384,167.68058194793537,5.292839794,590.75,610.0,636.5,699.0
DMS,26.0,,,,149.81924563769232,133.0186648863086,3.0,37.0,88.56162064,255.5,425.122
CS2,26.0,,,,3.043974261461538,14.04429810594009,0.098,0.15,0.207137074,0.425,71.89405665
CHCl3,26.0,,,,26.846153846153847,7.950508450117175,6.8,23.125,27.6,32.3,40.8
CH2Cl2,26.0,,,,85.67307692307692,25.277793538080935,15.1,78.175,90.3,101.775,117.7
C2HCl3,26.0,,,,5.438092843076922,10.841281871621575,0.7,1.3825,3.73,5.12,57.82421634
C2Cl4,26.0,,,,7.322109416346153,8.458581994115765,2.268,3.74,4.8,8.5325,46.58508014
CH3Cl,26.0,,,,522.6153846153846,151.54988008522525,4.0,547.0,559.0,576.25,609.0
CH3Br,26.0,,,,7.023076923076924,1.4591141675160837,0.4,7.0825,7.18,7.3325,8.46
CH3I,26.0,,,,1.326609587769231,3.9285022114475225,0.117323482,0.51,0.54,0.6375,20.5725258
CH2Br2,26.0,,,,1.4668070120769232,1.4658198394291657,0.104762929,1.1324999999999998,1.22,1.28,8.553219385
CHBrCl2,26.0,,,,3.3538712881153847,9.979890909112436,0.488,0.87,1.174,1.885,52.14112449
CHBr2Cl,26.0,,,,3.505442274846154,9.147757357469889,0.638,0.985,1.51,2.505,48.16861353
CHBr3,26.0,,,,2.5935413641153846,4.378787287397444,0.430718947,1.3924999999999998,1.744,2.2025,23.93135652
EtCl,26.0,,,,2.0115384615384615,2.9360281910195516,0.2,1.3,1.5,1.7,16.3
"1,2-DCE",26.0,,,,25.000000000000004,6.340410081374864,2.2,25.425,26.9,27.375,32.2
MeONO2,26.0,,,,10.153805739576923,2.9623488123300663,1.877951399,8.4925,10.39,11.7125,18.52199783
EtONO2,26.0,,,,3.940575670846154,5.475556021510055,0.902945032,2.105,2.97,3.7725,30.38702241
i-PrONO2,26.0,,,,9.42991970223077,7.6302062954006855,3.521248278,4.12,8.856,11.424999999999999,42.88466398
